family	id	audit	fixture	leakage	spike_flag	notes
env	env.vwap.rth.sd2	fail	fail	0	n/a	SPEC env upgrade; report under value/; family_value.py:30 vwap_reach=False on MBP path; :64-75 full-RTH HLC3 VWAP vs AM (lookahead)
env	pz.approx.A	fail	fail	0	n/a	family_env.py:87-97 500-session hist ok (pz_history=500) but np.percentile linear p90 envelope not nearest-rank T1-T4 50/75/90/95/99; warmup 30; pz_is_approx hardcoded pass:True :189
env	pz.approx.A.VP-node-snap	unbuilt	none	0	n/a	SPEC upgrade; no report; not in family_env.py
env	pz.approx.A.history-60	unbuilt	none	0	n/a	SPEC upgrade; no report; code uses 500 not 60 family_env.py:90
env	pz.approx.A.vol-scaled	unbuilt	none	0	n/a	SPEC upgrade; no report; not in family_env.py
env	pz.approx.A.volume-filter	unbuilt	none	0	n/a	SPEC upgrade; no report; not in family_env.py
env	pz.approx.B	unbuilt	none	0	n/a	SPEC 0.5R/1.0R beyond 6-9 edges; no report; not in family_env.py
env	pz.learned	pass	pass	0	n/a	family_env.py:204-217 status=deferred n=0 Phase 3; wiki/p-zones-benchmark.md deferred not a fail
vol	vol.gk10	unbuilt	none	0	n/a	SPEC window-10 upgrade; no report; family_vol.py mean of last 20 only :60
vol	vol.gk20	pass	pass	0	n/a	family_vol.py:19-24,40,47 GK on session 18:00-17:00 OHLC; gk20=mean of 20 daily GK variance (not sqrt-σ); fixture _gk(100,110,90,105)>0
vol	vol.gk60	unbuilt	none	0	n/a	SPEC window-60 upgrade; no report
vol	vol.har	pass	pass	0	n/a	family_vol.py:61-63 0.5*RV1+0.3*mean5+0.2*mean22 on RTH 1m RV incl today; n=626
vol	vol.iv.atm	not-measurable	pass	0	n/a	family_vol.py:158-174 stub status=not-measurable; NDX quote-1m exists thetadata-opra/opra__ndx-options__quote-1m__dte14; not in SPEC §5 NM list
vol	vol.rv.overnight	unbuilt	none	0	n/a	SPEC/wiki 18:00-09:30 as-of-09:29 upgrade; no report; family_vol.py:41 uses RTH 09:30-16:00
vol	vol.rv10	unbuilt	none	0	n/a	SPEC window-10 upgrade; no report; family_vol.py mean of last 20 :59
vol	vol.rv20	pass	pass	0	n/a	family_vol.py:41-47 RTH 09:30-16:00 1m RV mean-20 incl today (wiki groups 18:00-17:00 OHLC); terciles frozen F :73-87; leakage hardcoded 0
vol	vol.rv60	unbuilt	none	0	n/a	SPEC window-60 upgrade; no report
vol	vol.skew25	unbuilt	none	0	n/a	SPEC/wiki faithful; no report no function; NDX quotes present
vol	vol.vx.slope	unbuilt	none	0	n/a	SPEC/wiki faithful VX1−VIX; no report no function; Cboe VX + VIX parquet present
vol	vol.yz10	unbuilt	none	0	n/a	SPEC window-10 upgrade; no report
vol	vol.yz20	unbuilt	none	0	n/a	SPEC/wiki faithful; family_vol.py:52-58 appends yz_o/yz_c/yz_rs (GK as RS) then never emits yz20
vol	vol.yz60	unbuilt	none	0	n/a	SPEC window-60 upgrade; no report
