id|name|definition|target|comparisons|fixtures|metric|ablations|decision_use
M03.PRICE_CVD|Distinct price/CVD divergence cases|Encode confirmed and running-reference high/low breaches, slopes and time since divergence separately.|Direction/continuation/turn distribution at 1/5/15/30 minutes.|Source divergence rules; continuous residual regression; duration-aware classifier.|Price higher high with CVD lower high, inverse case, rising-price/falling-CVD trend and future pivot confirmation.|Conditional Brier/CRPS, timing calibration and confirmation cost.|Reference scale, running versus confirmed, slope versus extrema and context interaction.|Avoids treating every divergence as the same reversal signal.
M03.COHORT_SMT|Within-market inter-cohort SMT|Compare causal reference breaches and normalized excursions of ordinary and size-specific CVD processes.|Future receiver path after both relevant observations are known.|All-size CVD; cohort differences; regularized or temporal interaction model.|Same close/different high-low paths, cohort split shift and one cohort missing.|Incremental proper score and residual diversity beyond aggregate CVD.|Cohort labels permuted within valid controls; OHLC versus close and price context.|Detects whether cohorts add independently useful participation detail.
M04.ANCHORS|Profile anchor family|Preserve prior/developing RTH, full session, 06–09, confirmed swing/leg, dealing range and causal composite anchors as separate profiles.|Profile-role/reach/path outcomes over 5/15/60 minutes and session remainder.|Exact source anchors; fixed rolling window; causal auction/adaptive anchor.|Post-trade anchor leakage, unfinished session, same price/different profile and changed composite membership.|Mass/anchor parity; role score and complete-policy increment by anchor.|Each anchor and anchor selector; common node count/width controls.|Tests where volume memory matters rather than silently replacing source profiles.
M04.TOPOLOGY|Profile shape and stable nodes|Compare raw tick rows, binned rows, smoothing, prominence, multimodal valleys and shelves with deterministic ties.|Stable causal geometry and future traversal/hold distributions.|POC/VA only; unsmoothed peaks; KDE/multichannel spatial model.|Bimodal equal POCs, empty valley, one-tick bin shift, sparse tail and shifting developing maximum.|Mass error, geometry sensitivity, matched-density reach/depart/value.|Bins, smoothing, prominence, node count and location type independently.|Improves shelf detection while measuring false coverage from dense levels.
M04.PROXY|True volume versus OHLC allocation|Compare actual trade-at-price profiles with faithful candle-volume allocation on identical dates/anchors.|Geometry error and incremental predictive/economic information.|Source proxy; exact trade distribution; error-aware profile encoder.|Identical OHLCV/different trade geography and bar volume spread across untraded prices.|Profile distance, node displacement and paired downstream score/value.|Hold learner fixed across data construction; hold data fixed across learner classes.|Shows whether richer tape fixes a measurement limitation of older indicators.
M05.SIDE_TOPOLOGY|Separate buy/sell/delta profiles|Keep buy, sell and unknown mass, signed difference and cohort geography without collapsing opposing shelves.|Conditional shelf hold/traverse/control at 5/15/60 minutes.|Total VP; signed delta peak; multichannel side-profile learner.|Equal VP/opposite delta, opposing peaks that cancel, unknown-heavy side and later unrewarded aggression.|Exact channel conservation; gain beyond total VP and sign-shuffle controls.|Side, size cohort, anchor, protection history and normalized versus raw mass.|Makes delta-profile contributions separable from ordinary volume location.
M06.DWELL|TPO versus actual dwell|Separate bracket visits, exact time-at-price and volume at price with their true observation/confirmation clocks.|Auction acceptance/traversal and remaining-session path.|TPO rule; continuous dwell; regularized joint profile model.|Gap falsely filling rows, repeated visit within bracket, single print later filled and partial IB.|Visit/time conservation; role calibration and value at matched zones.|TPO/dwell/volume, bracket duration and session anchor.|Tests auction structure using distinct participation measurements.
M07.ROBUST_BANDS|VWAP dispersion alternatives|Compare exact volume-weighted moments with robust weighted quantile/MAD-style bands under explicit definition IDs.|Future contact/depart/traverse over 5/15/60 minutes.|Source SD/percentage bands; quantile bands; conditional band model.|Zero volume, outlier print, moving anchor, reset jump and final bar inclusion.|Moment/reference parity; coverage and width-matched economic value.|Anchor, band estimator, multiplier and dynamic versus frozen management.|Tests whether non-Gaussian band geometry improves usable locations.
M08.MULTISCALE|Causal swing and leg alternatives|Compare fixed left/right pivots, price-reversal thresholds, volatility-scaled reversals and provisional running legs.|Future path and location value after actual confirmation.|Source fractal; threshold swing; causal multiscale feature model.|Equal highs, nested leg, never-reversing trend, backplotted pivot and roll jump.|Confirmation delay, anchor stability and matched-age location utility.|Scale, provisional/confirmed state and learned offset policy.|Tests adaptive look-left structure without future-selected extrema.
M09.RECOVERY|BBO net recovery under executions|At unchanged best price use new size minus old size plus eligible executions only where bundle semantics support it. Retain eligible native add/modify/cancel/trade and side-rate channels with snapshot/gap masks; do not double subtract supplied book changes.|Exact net displayed recovery; subsequent hold/break/shortfall.|Size change alone; execution-adjusted net recovery; hazard with measured timing. Compare quote-state-only, trade-only and combined event features at identical cuts; vary cadence separately.|Trade and cancellation in same bundle, unchanged price, quote price shift and duplicate execution.; normalized pre-trade BBO versus following quote update and initialization adds.|Algebra/bounds and incremental calibrated hold/shortfall prediction.|Book-only, trade-only, bundle order and recovery decay.|Avoids treating net displayed changes as identified hidden refill or gross additions.
M10.INTENSITY|Clock and event activity|Compare trade-count, contract-volume, signed-volume and marked-size intensity with causal seasonal adjustment.|Next burst/stall and 1/5/15/30-second or minute path at supported cadence.|Rolling counts/EWMA; duration/Poisson-style model; marked Hawkes challenger.|Many small versus few large prints, auction burst, quiet quote drift and near-zero elapsed time.|Count deviance/time calibration and path/value increment after detection.|Count/volume/size, clock, seasonality and excitation terms.|Tests pace information while checking whether a complex point process earns its cost.
M10.EFFICIENCY|Effort-progress asymmetry|Measure directional displacement per signed/gross effort, adverse retreat and dwell with explicit zero-effort state.|Competing continuation, stall and reversal distributions.|Price-only speed; effort/progress regression; nonlinear interaction model.|High effort/high progress versus high effort/stall, low-effort drift and mirrored sides.|Conditional proper score, tail calibration and actionable delay.|Effort versus price, regime and location interaction.|Separates activity from who is currently obtaining observable price progress.
M11.MEMORY_DECAY|Aggression memory and causal markouts|Birth every eligible effort cluster before its outcome; append observed markout/protection as it matures; compare time/volume/visit decay.|Subsequent retest/hold/failure and full-position management value.|Price-origin memory; fixed decay; survival/state-space memory model.|Largest delta loses, new opposing cluster, later-protected origin and repeated failed idea.|Markout calibration, survival incidence and value after confirmation.|Size/sign, decay, reward history and price-only memory.|Provides observable control memory without assumed continuing participant inventory.
M12.REFERENCE_TYPES|Opens, settlements and gaps|Keep official settlement, last trade close, day/week/month open and source fractional-return references separate.|Gap hold/fill/traverse over 5/15/60 minutes and session remainder.|Source clock/fraction; prior-close benchmark; conditional gap hazard.|Late settlement, Friday/Monday, no first print, roll gap and misread 07–05 window.|Reference timestamp/value parity; calibrated event incidence and net value.|Reference kind, fraction, opening context and calendar.|Prevents similarly named prices from being treated as the same location.
M13.FOOTPRINT_CHANNELS|Footprint spatial and temporal detail|Compare same-price side share, diagonal imbalance, stacks, body/wick geography and developing mode under causal bars.|Future path and local region hold/traverse at seconds/minutes.|Price/delta-only; shrinkage footprint ratios; compact tensor/sequence model.|Zero denominator, missing tick, final wick leak, POC tie and identical final bar/different event order.|Exact footprint mass/orientation; incremental calibration and delayed entry value.|Each channel, smoothing, bar construction and raw sequence order.|Tests which footprint details add information beyond aggregate CVD.
C01.RANGE_GEOMETRY|Source and learned range geometry|Preserve each named range's open, high, low, width, quarters and edge-relative projection convention; C05 supplies additional causal definitions.|Exact objects plus subsequent 15/30/60-minute range-path targets.|Faithful 06–09/prior-RTH; alternative windows; pooled versus range-specific forecast heads.|Range-open differs from EQ, edge+1.33W differs from normalized 1.33, zero W and future-final extrema.|Geometry parity and paired path/value by range definition.|Window, anchor, width normalization and projection convention separately.|Keeps internal opportunities, outer structure and adaptive ranges distinguishable.
C02.ORDERED_PATH|Range event order and repeated breaks|Maintain breach, reclaim, acceptance and time since each event, including repeated and opposite-side breaks.|Next transition, first passage and remaining-session branch distribution.|Unordered touched-edge flags; finite-state order; duration-aware multistate model.|Both edges same coarse bar, break-reclaim-break, gap-over and events before range completion.|Exact sequence identity, cumulative-incidence calibration and policy value.|Order, duration, penetration and repeated visits.|Tests how much source path order adds beyond a single day-type label.
C03.BRANCHES|Separate Jumbo path specialists|Independently score wide internal-to-edge, compressed internal-to-extension, initial projection, later reversal, partial-retrace continuation and no-useful-move heads.|Common 15/30/60-minute PATH/REACH/DEPART targets, with branch outcomes separate.|Faithful branch rules; hierarchical multinomial/hazard heads; compact temporal model versus pooled model.|Inside-EQ continuation, two reversals, shallow room, no gamma and delayed announcement.|Proper scores by branch, calibration, effective dates and whole-policy value.|Each branch, range width/order, prior value, SMT and event timing.|Allows independent internal and extension actions without a hard future day classification.
C04.OPEN_TYPE|Opening structure and path attributes|Preserve open-drive, test-drive, rejection-reverse and auction attributes with explicit reference, threshold, persistence and stage order.|5/15/30-minute opening attributes plus future traversal/excursions.|Open-gap only; source contingency model; multistate survival/boosted model.|Above value but inside range, test before drive, later return after apparent drive and two-way auction.|Attribute/transition calibration and incremental path/value.|Prior value versus full range, reference choice, persistence and completed versus prefix state.|Separates opening observations from matured hindsight opening labels.
C05.CLOCK_SEARCH|Clock-range discovery|Search a bounded start/end grid inside training with minimum duration and complexity/stability penalties, retaining source windows.|Future path/location utility after actual window completion.|06–09 and named windows; 15-minute clock grid; regularized range selector.|Best retrospective window, window ending 09:30 replacing 09:00, timezone shift and unstable selection.|Nested OOF path/value, selection stability and search-adjusted uncertainty.|Window search versus added predictor capacity; equal trial budget.|Tests whether better formation clocks improve the complete range opportunity.
C05.ACTIVITY|Activity and volatility stopping ranges|Close a range when a preregistered cumulative trade/volume/volatility-clock rule is reached from a causal anchor.|Future excursion/branch distribution after completion.|Fixed clock; volume/count threshold; seasonal normalized stopping rule.|Large threshold-crossing trade, no completion, outage versus low activity and threshold fitted on full day.|Stopping-time fidelity, coverage, proper scores and economic value.|Activity definition, threshold, minimum duration and seasonal normalization.|Supports learned ranges beyond named sessions without future range selection.
C05.AUCTION|Auction and change-point ranges|Compare observable balance/discovery transitions and causal change-point detection as range birth/closure rules.|Post-formation traversal/excursions and actionable location value.|Fixed window; finite-state acceptance rule; online change-point/HSMM challenger.|Later smoothing backdates transition, brief false transition, nested balances and no qualified range.|Detection delay, false range count, matched-density utility and calibration.|Duration/price/volume axes, transition model and geometry.|Tests adaptive auction structure with the detection cost included.
C06.CONDITIONAL|Conditional excursion and analog specialists|Compare pooled seasonal excursions with prior-state analogs, robust quantiles and distributional regressions; comparables use only known variables.|Upper/lower excursions at 5/15/30/60 minutes and named remainder horizons.|Empirical mean/median/SD; weighted analog/GAM quantiles; boosted distribution or conditional density.|Current-inclusive statistics, future-volume analog selection, regime sparsity and quantile crossing.|CRPS/pinball, tail coverage, calibration width and L04/G value.|Conditioning variables, analog distance/window, mean versus median/tails.|Builds richer P-zones without pretending an undisclosed source formula is known.
C06.JOINT|Joint excursion, time and ordering|Preserve dependence among upper/lower excursions, first passage times and terminal state through explicit model capability.|Joint PATH and ordered barrier labels on fixed horizons.|Independent marginals as limited comparator; competing-risk model; coherent learned path dynamics.|Identical excursions/opposite order, both barriers, no touch, outage censor and horizon truncation.|Marginal proper scores plus order/cumulative-incidence and dependence calibration.|Dependence model, event timing and trajectory assumptions.|Supplies G04/G05 with identified order information instead of inferring paths from variance alone.
C06.PREFIX|Remaining distribution after observed travel|Update the distribution conditional on the actual intraday prefix, time remaining and already consumed excursions.|Future incremental excursions through fixed session/day boundary.|Unconditional daily range; elapsed-time seasonal update; conditional survival/distribution model.|Early overshoot of expected daily range, late fresh event, extreme already reached and shortened session.|Conditional coverage and value of remaining room; no hard range cap.|Observed path, time, volume, IV and event update separately.|Prevents statistical daily bounds from becoming false hard ceilings on opportunity.
C07.ACCEPTANCE|Acceptance, rejection and discovery axes|Use dwell, volume, crossing count, efficiency and value-area traversal as observable continuous axes before state forecasting.|Next acceptance/rejection/traverse transitions over 5/15/60 minutes.|Source time/close rule; soft Markov/hazard model; duration-aware state model.|Fast pass versus prolonged acceptance, repeated crossings, low-volume drift and final-session shape leak.|Transition calibration and role/value by state, including uncertain states.|Price/time/volume and hard versus soft states.|Makes auction context useful for both continuation and reversal locations.
C08.MIGRATION|Value migration across anchors|Compare POC/centroid/VA movement and distribution overlap across developing, prior and composite profiles.|Future discovery/reversion and location role over 15/60 minutes/session remainder.|POC slope; distribution-distance/overlap regression; multichannel spatial-temporal model.|POC flips from one print, same centroid/different modes, nested anchors and future composite.|Geometry stability, conditional proper scores and incremental decision value.|Mode versus centroid, overlap, anchor hierarchy and delta geography.|Tests the shape of migrating value rather than only the last POC price.
C09.SEASONAL|Session-conditioned volatility baselines|Estimate lagged range/variance distributions by instrument, clock, day/event state with partial pooling and causal seasonality.|Future interval physical variance and excursion distribution.|Pooled trailing baseline; seasonal EWMA; hierarchical conditional forecast.|Holiday short day, overnight thinness, year scale change and zero prior variance.|QLIKE/CRPS, conditional coverage and learning curves.|Seasonality, lookback/decay, event buckets and long-history versus rich-data cohorts.|Provides a difficult transparent benchmark for every richer volatility expert.
C10.GK_ROBUST|GK measurement versus forecast|Separate exact OHLC Garman–Klass variance from a future forecast; compare overnight exclusion, session aggregation and data-noise handling.|Future physical variance on matched 5/15/60-minute/session targets.|Raw lagged GK; seasonal regression; GK-augmented HAR/tabular challenger.|Zero range, inconsistent OHLC, opening jump and range mistaken for standard deviation.|Formula parity and QLIKE/coverage at common targets.|GK versus RV/Parkinson, clock aggregation and opening jump channel.|Tests whether GK contributes independently after better physical and implied information.
C11.YZ_JUMP|Opening-jump-aware volatility|Keep Yang–Zhang overnight/open-close/Rogers–Satchell contributions, sample conventions and calendar intervals distinct.|Future session variance/tails and supported intraday horizons.|Close-to-close and GK; exact YZ plus regression; joint jump/continuous forecast.|Missing opening print, overnight gap, sample size denominator and shortened session.|Reference formula and component contribution; variance/tail forecast score.|Overnight contribution, estimator window, session clock and continuous-vol inputs.|Tests opening information separately from intraday volatility dynamics.
C12.NOISE|Sampling and microstructure noise|Compare native/high-frequency RV, coarser sampling and supported noise-robust/preaveraged estimates using only preceding observations.|Observed variance quality and future physical variance/excursions.|One-minute RV; multi-grid RV; noise-aware estimate and simple forward learner.|Bid-ask bounce, duplicate prints, asynchronous ticks, zero return bursts and sparse overnight tape.|Sampling stability, synthetic known-variance error and held-out forecast score.|Sampling frequency, trade versus midpoint, noise correction and event coverage.|Checks whether apparent volatility signal is mostly quote/trade microstructure noise.
C12.SEMIVARIANCE|Directional realized volatility|Keep positive/negative return semivariances and sign/scale conventions distinct before future forecasting.|Future downside/upside variance, tails and first-passage asymmetry.|Total RV; separate semivariance regression; joint tail model.|Same total RV/opposite downside share, no negative returns and a large signed jump.|Component conservation, tail coverage and directional proper scores.|Negative/positive channels, jumps and implied skew.|Tests asymmetry that a single volatility number discards.
C13.HAR_VARIANTS|Multiscale forward-volatility models|Compare daily/weekly/monthly and intraday horizon components, log/level transforms, jump and leverage terms with causal features.|Common positive future physical variance and distribution heads.|Seasonal EWMA; HAR; regularized HAR-J/HAR with semivariance inputs and tabular challenger.|Overlapping horizons, label not matured, log-zero floor and opening-event shock.|QLIKE, distribution coverage, fold stability and incremental G02 contribution.|Each scale, transform, jump and IV channel; equal tuning budget.|Tests multi-horizon memory without averaging incompatible time scales.
C14.JUMP_SPLIT|Continuous versus discontinuous risk|Compare causal realized variation/bipower-style diagnostics, event bursts and robust threshold alternatives with their sampling assumptions.|Future jump occurrence/size, continuous variance and receiver tail risk.|Total RV; simple jump flag; two-part jump/continuous forecast.|Single bad tick, news jump, volatility burst without jump and sampling-frequency change.|Synthetic contamination sensitivity, Brier/count/tail scores and economic risk value.|Jump definition, sampling, known events and total-volatility controls.|Separates event risk from continuous-volatility estimates before stop/path decisions.
C15.ATM|ATM implied variance bridge|Use per-expiry and supported constant-tenor ATM IV/total variance plus quote/forward uncertainty to forecast physical outcomes.|5/15/60-minute and session-remainder physical RV/excursions; future IV is a separate head.|Seasonal physical-only; IV-augmented GAM/ridge; distributional boosted bridge.|IV percent/fraction, missing tenor bracket, wrong forward and stale repeated quote.|QLIKE/CRPS and conditional interval coverage; P versus Q labels distinct.|Level versus change, each tenor and physical forecasts; same input/model budgets.|Feeds G02/C06 physical opportunity forecasts rather than treating IV as guaranteed price range.
C15.SMILE|Full supported smile information|Encode k-by-T IV/total-variance shape with observed/extrapolated masks and quote uncertainty.|Physical tails and separately future surface factors at 5/15/60 minutes.|ATM+slope; spline/factor model; constrained masked surface encoder.|Identical ATM/skew but different wings, strike permutation, missing wing and spurious quote kink.|Weighted held-out price reconstruction plus physical CRPS/tail calibration.|Wings, terms, masks and factor versus representation capacity.|Tests information beyond a single IV or skew number.
C15.DELTA_SKEW|Delta-convention skew|Compute put25 IV minus call25 IV using fixed forward-delta convention; separately test 10-delta only with support.|Future downside/upside excursion asymmetry and surface skew change.|Fixed-k slope; robust delta-skew regression; nonlinear contextual bridge.|.30 put/.24 call gives .06; missing 10-delta wing; delta changes after forward move.|Skew interval stability, physical tail score and calibrated asymmetry.|Fixed k versus delta, put/call wings and event/term conditioning.|Provides directionally interpreted skew with explicit units and support.
C15.CURVATURE|Butterfly and asymmetric curvature|Keep butterfly, downside curvature, upside curvature and maturity interactions separate.|Physical tail shape, future IV curvature and scenario node stability.|Linear skew; quadratic/spline factors; constrained nonlinear factor model.|.30/.24 wings and .25 ATM give .02 butterfly; same slope/different curvature; wide quote kink.|Reconstruction within spread and incremental tail/path calibration.|Curvature versus skew/ATM, wing side and maturity.|Tests whether tail shape improves path and exposure scenarios.
C15.TERM|Total and forward implied-variance buckets|Interpolate compatible total variance; derive interval proxies with explicit ATM-versus-variance-contract interpretation.|Future interval variance, surface term changes and event-sensitive path.|Native expiry slope; total-variance interpolation; regularized forward-bucket model.|w1=.004/w2=.018 gives .14 interval proxy for .1-year gap; missing bracket and mixed settlement.|Numerical identity, uncertainty, QLIKE/CRPS at matched horizons.|Native/constant tenor, interpolation/extrapolation and term curvature.|Separates maturity roll from new implied information.
C15.EVENT|Event variance concentration|Fit baseline time variance plus nonnegative scheduled-event contribution only where expiry/quote coverage identifies it.|Pre-event tail distribution and post-event variance/surface change.|Calendar-only; smooth term structure; partially pooled event decomposition.|Event between expiries, holiday clock, delayed calendar update and weak two-expiry identification.|Event/non-event calibration, uncertainty and incremental executable value.|Event calendar, variance decomposition and actual post-event observation.|Tests option-priced event risk without using future announcement outcomes.
C15.VRP|Forward variance gap|Subtract OOF same-horizon physical variance forecast from compatible implied variance; retain IV-minus-lagged-RV as a separate descriptive baseline.|Future physical variance/tails and return/path conditions.|Lagged descriptive spread; forward forecast gap; regularized joint model.|Annualization mismatch, future RV leaked into gap, stale IV and changing physical model.|Incremental proper score and gap-uncertainty propagation.|Physical model, implied definition, gap versus separate levels.|Tests whether implied/physical disagreement adds information rather than mixing unrelated units.
C15.MODELFREE|Observed option-strip variance|Calculate eligible OTM strip contribution with explicit strike weights, correction, tenor and missing-tail treatment; full-index replication has separate data gates.|Internal implied-variance proxy and future physical-volatility information.|ATM IV; observed strip; methodology-faithful index reconstruction only if supported.|Sparse wings, two zero bids, wrong venue, missing rate and negative corrected partial estimate.|Formula/reference parity, coverage sensitivity and forward score.|Wing range, quote side, filtering, rate and ATM control.|Uses richer option prices while keeping partial-strip results distinct from official VIX/VXN.
C15.INTRADAY|Surface changes and dynamics|Separate same-contract IV changes from rolling-k/delta/tenor changes; normalize by causal session scale.|1/5/15/60-minute future IV/skew/term changes and physical receiver paths.|No change; seasonal AR/state-space; compact multivariate temporal model.|Unchanged quote with time decay, strike reselection, irregular update gaps and expiry roll.|Surface-change CRPS/error within quote uncertainty and receiver increment.|Lag lengths, level/change, roll correction and price return control.|Tests whether intraday implied information matters beyond its current level.
C15.LEVERAGE|Joint price and surface shocks|Model conditional return/IV/skew changes jointly; compare sticky-strike/delta and regularized sign/state responses.|Joint future spot/surface scenarios and physical tail distribution.|Fixed sticky scenarios; joint regression/state model; distributional temporal challenger.|Near-zero dS, upside versus downside shock, event skew change and dependent shocks.|Joint residual/dependence calibration, finite-difference residual and node/path value.|Leverage term, skew, time, event and scenario dependence.|Provides coherent O10/O12 repricing scenarios without unstable per-tick ratios.
