id|upgrade_scope|comparison|cases
M02.FIXED_COHORT|Retain each source fixed threshold and compare continuous overlapping size-basis channels around those boundaries.|Measure threshold sensitivity and path information at identical provider aggregation semantics; retain actual cohort volumes/OHLC.|Print at cutoff; 100 NY versus 75 London; changed reported trade summary.
M02.ADAPT_COHORT|Compare train-frozen quantile buckets with smooth size weights and optional causal normalization by supported session/cohort scale.|Separate adaptive definition value from learner capacity, and report channel mass reconciliation and stability.|Future quantiles; sparse cohort; session distribution shift; unseen huge trade.
M02.OHLC|Extend true hard/soft cohort cumulative OHLC with extrema timing, order and path range relative to covered exposure.|Compare close-only, OHLC and ordered-extrema summaries under the same cohort definitions and downstream learner.|High before low versus low before high; opening baseline extreme; empty cohort; reset.
M03.PRICE_CVD|Represent each ordinary/hidden price-CVD case with continuous mismatch, anchor age, confirmation cost and direction of innovation.|Compare exact flags, slopes and residual lag interactions separately for every source case.|Running versus confirmed extrema; tiny noisy mismatch; same endpoints reversed order.
M03.COHORT_SMT|Add scale-normalized inter-cohort discrepancy magnitude and causal lead-lag among exact cohort paths.|Compare fixed/adaptive/smooth cohort SMT and all-flow baseline under common print definitions.|Small empty cohort; aggregate same sign with opposing cohorts; one print belongs to soft channels.
M04.ANCHORS|Apply frozen-grid profile functions and expected-maturity residuals to every source session/event/rolling/composite anchor.|Compare each anchor and relation features without picking the best historical window after outcomes; match formation exposure.|Partial anchor; overlap reuses trades; event anchor unavailable earlier; roll.
M04.TOPOLOGY|Add plateau/mode sets, smoothing-scale persistence, mass transport and new-mass decomposition to all profile landmarks.|Compare POC/VA, raw topology and stable functional features at equal node count/width where used as locations.|Near-tie modes; grid phase; new mass outside grid; mass normalization changes without relocated trades.
M04.PROXY|Treat true trade profiles and every OHLC allocation proxy as distinct information views before applying identical improved geometry.|Hold geometry/learner fixed for data-fidelity comparisons, then hold data fixed for representation comparisons.|Same bar OHLC/volume with different trade distribution; side allocation uncertain; sparse exact tape.
M05.SIDE_TOPOLOGY|Add shrunken side contrast/intensity, distribution overlap and unknown-sign envelopes without cancelling opposing supported shelves.|Compare total, net, buy/sell and cohort profile geometry under matched grid/support.|High two-sided volume zero net; tiny denominator; unknown mass changes dominant side.
M06.DWELL|Add bracket continuity, revisit gaps and bounded dwell/repair trajectories while retaining distinct TPO versus time semantics.|Compare source bracket counts, exact visits, dwell and temporal occupancy summaries on equivalent available intervals.|Brief visits versus sustained stay; missing quote interval; unfinished bracket; interpolation cap.
M07.ROBUST_BANDS|Maintain weighted quantiles/asymmetry and anchor-contribution decomposition alongside exact VWAP/SD/percentage variants.|Compare outlier/anchor stability and conditional role value with matched band widths and target policies.|Bimodal mass; extreme print; rolling downdate; low-volume anchor.
M08.MULTISCALE|Build the causal nested swing/leg tree with prominence, persistence and recorded confirmation delay across every source threshold family.|Compare one-scale and tree summaries under equal information delay and bounded candidate count.|Threshold frozen at leg birth; nested equal extrema; delayed pivot; moving provisional leg.
M09.RECOVERY|Add depletion/recovery episodes, pressure-normalized timing and lagged trade/quote interactions to net recovery bounds.|Compare book-only, trade-only and combined features under exact MBP event semantics, with simple kernels first.|Batched additions/cancels; zero depth; executions between quotes; unchanged standing best price.
M10.INTENSITY|Use covered exposure and expected activity to derive intensity surprise, dispersion and burst persistence for each clock.|Compare rolling counts, seasonal residuals and registered count/process models before temporal networks.|No trades with healthy feed; outage; trade-size mix changes; bursts at normal open.
M10.EFFICIENCY|Model progress and effort jointly, with conditional progress residuals and denominator uncertainty.|Compare ratios against compact nonlinear surfaces and response kernels; future markouts remain matured labels.|Zero effort; same ratio very different support; quote-driven move; high volume proportional progress.
M11.MEMORY_DECAY|Compare hard clusters with sparse signed spatial memory under time/volume/retest decay and causal context retrieval.|Score memory fidelity, survival/markout contribution and resource use without inferring current participant inventory.|Merged clusters reuse evidence; markout pending; fresh defense; repeated failure.
M12.REFERENCE_TYPES|Use typed reference graph relationships and gap decomposition while preserving every official/open/body/range convention.|Compare isolated references and relational features; never replace missing official data with a learned price called settlement.|Late settlement; first observed trade not true open; body25 versus range quarter; contract bridge.
M13.FOOTPRINT_CHANNELS|Add chronological prefix slices and compact multiscale spatial summaries across side/cohort/diagonal/stack/tail channels.|Compare exact source thresholds, continuous row statistics and compact tensor basis independently of observation granularity.|Same final tensor different chronology; final wick unavailable; sparse diagonal cells; unknown side.
V01.LABEL_COVERAGE|Use an event/landmark label ledger with observation coverage and multi-state outcome ownership for every initial candidate and rejected/untraded branch.|Compare simple labels with the expanded target service, checking no-touch/nonfill/censor/tie partitions and candidate-population retention.|Missing future tape; overlapping objects; unresolved boundary; never acted candidate; revised geometry.
V02.LINEAGE|Compile the full chronological fit graph including generators, transforms, residual baselines, calibration, gates and auxiliary heads.|Compare declared folds with executable lineage queries and negative controls for each learned edge; overlapping intervals use exact maturity/dependence rules.|OOF predictor with in-sample scaler; residual model trained on outer labels; shared calendar day; late report.
V03.SEARCH|Separate a registered broad family pilot from bounded expansion and preserve all attempted definitions, hypotheses and stopping decisions.|Compare information versus representation/capacity under matched budgets, retaining negative/inconclusive branches and held-out integrity.|Successful window chosen from many; abandoned failed model omitted; expensive family crowds out others.
V04.POWER|Attach useful-effect, dependence-aware uncertainty and learning-curve support decisions to each local target and complete policy.|Compare fixed-endpoint and valid preregistered sequential protocols by their own assumptions; insufficient precision is inconclusive.|Rare event dates; optional ordinary-CI extension; correlated trades; tiny statistically significant gain.
V05.DRIFT|Organize source/state/forecast/calibration/policy alerts hierarchically and evaluate layer-specific adaptation policies.|Compare fixed reviews and registered detectors at matched false-alert/resource budgets with matured labels.|Shared source fault triggers many experts; slow labels; gradual versus abrupt drift; chance performance dip.
V06.PREFIX_RESTART|Add trace checkpoint comparison and first-divergence localization across semantic, numeric and action outputs.|Compare literal and optimized/restarted chains after planted timing/state faults; measure localization speed and reproducibility.|Numeric tolerance hides action rank change; unfinished bar lost; stale version; no tick at timer.
V07.PLANTED_SIGNAL|Plant known individual, redundant and interaction-only signals plus causal nulls into the actual candidate/fit pipeline.|Compare attribution and selection recovery with exact known mechanisms, without treating synthetic success as market performance.|Two redundant features; interaction only; hidden leakage; selected population changes.
V07.ORACLE_SCOPE|Decompose diagnostic ceilings by admitted information, candidate set, action template and fill scenario using explicit future access only in the oracle diagnostic.|Use exact bounded enumeration where feasible; a heuristic oracle solver is not a certified upper bound. Compare real policy to the clearly stated feasible diagnostic scope.|Out-of-set hindsight entry; unknown passive fill; occupancy ignored; heuristic misses better feasible path.
V08.RESOURCE_FRONTIER|Measure paired accuracy/latency/RAM/storage frontiers and allocate expansion after broad eligible-family coverage.|Compare literal/shared materialization, simple/rich models and staged budgets with immutable evaluation sets and resumable jobs.|One family consumes budget; failed worker; stale cache; more time/data needed rather than more compute.
G01.DIVERSITY|Compare hierarchical lineage-aware stacking and residual correction against flat mixtures, preserving exact shared target capabilities.|Separate expert information diversity from random-seed/model duplication; assess proper loss, stability and incremental net.|Duplicate experts; common bias; useful weak residual; missing family.
G02.MULTITARGET|Build coherent within-target horizon ensembles and separate variance from U/D/order/time path mixtures.|Compare single/uniform/flat/hierarchical stacks on each target, with cross-target consistency only where mathematically declared.|Good RV but wrong tail; mixture quantiles; many correlated estimator lags; shortening horizon.
G03.CONDITIONAL|Add partial pooling of supported calibration cells and evaluate the complete post-projection/gating/selection chain.|Compare pooled calibration with hierarchical conditional alternatives by proper score, coverage and action stability.|Rare cell; aggregate calibration hides local failure; calibrator changes rank; missing-pattern shift.
G04.ORDER|Use joint landmark contact/co-contact/gap/time/arrival-state outcomes across the frozen candidate set.|Compare distance and independent hazards with coherent competing-event/path models, preserving nonexclusive geometry semantics.|Overlapping bands; gap skips nearer band; same-time contact; pre-touch arrival features unknown.
G05.RUNNER_DURATION|Model contact, initial departure, retrace, renewed departure and failure as ordered duration-aware branches.|Compare hit/runner labels with structured transitions and direct joint heads at matched forecast cuts.|Fast bounce then failure; slow runner; unresolved boundary; repeated contact.
G06.COST_DEPENDENCE|Couple price, fill, delay, cost and occupied-duration scenarios across complete competing actions.|Compare direct values with paired residual differences and common random numbers, retaining shared model error.|Actions identical until one barrier; inconsistent fills; nonfill opportunity counted twice; continuation overlap.
G07.DURATION|Compare bounded lookahead with myopic policies using the same terminal boundary and correctly timed continuation.|Evaluate total day net/occupancy rather than independent USD-per-minute scores; common scenarios support paired differences.|Short trade leaves later opportunity; long trade blocks it; boundary truncation; pending order consumes capacity.
G07.INFORMATION|Estimate incremental value of the next observable stage against delay, price deterioration and nonarrival.|Compare fixed confirmation/deeper waits, one-step and bounded two-step policies before greater planning depth.|Next signal adds nothing; confirmation never arrives; source expires; price runs away.
G08.RANKING|Canonicalize equivalent actions and compare calibrated pairwise value differences with pointwise and set ranking.|Keep full enumeration as reference; any pruning needs a stated dominance result under the actual continuation model.|Duplicate evidence; same entry different expiry; near tie to flat; apparent dominance fails with occupancy.
G09.SUPPORT|Gate on joint action instability/regret as well as validity and empirical support, keeping the early mask distinct.|Compare always-use-valid, spread thresholds, reduced-use/wait and stability-based abstention by net-risk-coverage.|Large forecast uncertainty same action; small uncertainty flips action; unseen support; false confidence from duplicates.
G10.ADAPTATION|Version and adapt measurement state, forecast parameters, calibrators, mixtures and policy thresholds separately.|Compare frozen/uniform schedules with bounded layer-specific policies and shadow challengers under one prequential protocol.|Calibration drifts but rank holds; new model needs new calibrator; source fault; chance drawdown.
P01.ACTION_STATE|Compile complete action templates and shared transition semantics into reference and optimized one-mini reducers.|Compare reachable state/action traces and reward ownership across research/runtime, including pending and protection states.|Exit/stop race; expired intent; candidate change while pending; flat with live order.
P02.BRACKETS|Evaluate joint stop/target/expiry/route frontiers with common path/cost scenarios and structural feasibility.|Compare every source bracket with bounded complete grids and conservative frontier choices; measure net and tail/budget fit.|Tick rounding exceeds headroom; target after expiry; uncertain mapping; nonfilled midpoint entry.
P03.EXIT_VALUE|Estimate paired incremental exit/hold/amend value relative to the currently committed full-position plan.|Compare each stop/target policy alone and joint hysteresis/shrinkage alternatives including replace latency and protection gap.|Tiny alternating value; real thesis failure; old stop fills during amendment; extension misses exit.
P04.REENTRY|Add evidence novelty, replenishment and pressure history to each exact parent-idea/visit state.|Compare no retry, source attempt caps and novelty-conditioned value with shared cumulative idea/day budgets.|New ID same evidence; losing trade followed by real refresh; prior win with no new support; sparse later visit.
P05.CLOCKS|Evaluate all execution variants on shared venue paths while keeping strategy information and order-arrival clocks separate.|Compare standing-quote arrival fills and latency scenarios; never wait artificially for the next quote update.|Venue event not yet received; order arrives before next update; source delay differs from outbound delay.
P05.PASSIVE|Use coupled admissible queue/fill scenarios and later telemetry-calibrated probabilities only where observed support permits.|Compare marketable reference, touch/trade-through bounds and joint economic ranges including occupancy/races.|Two policies compete for same execution; cancel unknown; insufficient size; hidden queue state.
P06.SHORTFALL|Fit joint fill/delay/shortfall/markout distributions conditional on permitted route and supported observable state.|Compare fixed conservative costs, state tables and joint quantile/competing-risk models with separate fee/spread accounting.|Delay and volatility rise together; passive adverse selection; fee version change; counterfactual route unsupported.
P07.IDEMPOTENCY|Generate bounded interleaving/restart traces from an explicit durable order protocol and verified broker semantics.|Compare reference reducer and adapter against invariants; external exactly-once claims require actual broker capability.|Crash between persist/send; duplicate ack; late fill; stale broker snapshot; non-atomic OCO.
P08.RESERVATION|Enumerate feasible pending-order states and compute worst incremental reserve within each registered stress scenario.|Compare feasible-state engine with conservative additive reference without allowing unenforceable favorable offsets.|Already marked loss; accrued fee once; cancel race; entry and stop both working; gap exceeds model envelope.
P09.ACCOUNT_PATHS|Compile versioned balance functions, time predicates and lifecycle transitions into one traced rule definition.|Compare hand-calculated, reference and runtime account/cash paths across each selected product scenario.|Trailing floor locks; pending payout; purchase-date terms; failed account remains in cash ledger.
P10.REMAINDER|Allocate deadline time to cancel, reconcile, flatten and verify, with actual remainder forecasts.|Compare conservative fixed buffer and supported conditional latency budgets under unchanged mandatory cutoff.|No ticks; early close; reconnect; halt; cancel timeout; last eligible opportunity.
P11.CASH|Add objective-feasibility decomposition across opportunities, budget fit, net trade value, inactivity, failed fees and cash timing.|Compare both accounting bases and full chronological account scenarios, including zero-trade days and uncertainty.|Displayed profit no payout; exceptional day dominates mean; fees before payout; many inactive days.
P12.FAIR_INSTRUMENT|Compare actual one-mini budget-fit opportunity frontiers, separating information, structural feasibility and execution cost.|Use paired eligible dates, frozen development selection and the registered NQ preference rule; any intraday selector is separate.|NQ stronger forecast unaffordable stop; ES different frequency; unequal histories; test-selected instrument.
R10.CVD_CASES|Add normalized flow/price innovations and causal distributed lags to every preserved control/divergence case.|Compare each raw source case, continuous residual features and pooled conditional model on identical cuts.|Median reset; cohort mismatch; confirmed pivot delay; same endpoint opposite chronology.
R11.FA_POC|Use duration-aware A→B-POC→A branch forecasts at every observed prefix with exact two-balance identities.|Compare completed source rule with continuous stage/remaining-path models; B-POC contact cannot be replaced by another value reference.|B POC not reached; prior B unknown; partial return to A; far edge unresolved.
R11.FA_VALUE|Apply the same branch machinery to the separately defined broader B-value reference and preserve its different opportunity population.|Compare faithful value versus POC requirements with matched source availability and report population changes explicitly.|Touches value edge but not POC; broad region widens hit rate; incomplete traversal.
R12.SQUEEZE_BRANCHES|Add retained displacement, origin reclaim, new effort and stage duration to plain, failed-fade and resqueeze branches.|Compare independent source paths with shared transitions plus branch-specific residuals.|Partial failure; new origin pocket; quiet renewal; no refill; reused initial catalyst.
R13.QUIET_ENTRY|Measure opposing intensity and progress shortfall relative to covered expected state without requiring own-side burst.|Compare direct C/L, failure-only and later confirmation using actual prices/horizon and complete net.|Outage looks quiet; efficient quiet trend; valid quote-led rejection; delay removes runway.
R14.PREFIXES|Evaluate additive information and action value after every named hold/recovery/turn/progress/refresh prefix.|Compare strict source conjunctions with flexible stage transitions and bounded waiting, preserving tick-versus-update alternatives.|Skipped refresh; updates versus price ticks; repeated stage adds no evidence; lift-off already occurred.
R15.PROTECTION|Use context-residual reward, cumulative pressure, fresh defense and age to estimate protection strength/lifetime.|Compare source protected swing, price-only trail, raw markout and residual survival/value at actual confirmation times.|Trend rewards every origin; markout not mature; later depletion; role reversal.
R16.ANCHOR_DETAIL|Compare exact-tick minor/wick references with support-weighted spatial bands and neighboring-region competition.|Control width/count and shared episodes; assess whether precision survives spread and actual timing.|One wiggle touches many nodes; final wick unavailable; sparse peak; neighboring level explains reaction.
R17.VISITS|Add pressure dose, recovery history, novelty and time away to each causal first/second/later visit.|Compare count-only and recurrent-event renewal/depletion models with partial pooling and cumulative idea budgets.|Flickers are one visit; second visit stronger; refreshed object ID; sparse late visits.
R18.STOP_INTERPRETATIONS|Pair every source confirmation/midpoint/extreme entry-stop interpretation with continuous event-time sweep/reclaim quality.|Match source timeframe and bar-phase alternatives, actual confirmation delay, nonfill and complete bracket feasibility.|Midpoint never returns; 2/3/5-minute phase; caption/drawing conflict; failure-through branch.
R19.ENTRY_EXIT|Run a factorial adapter for Response filter, entry timing, full-position management and prespecified combinations.|Keep the original C/L opportunity ledger and compare paired full-policy values, separating population selection from information.|Hit rate improves but net falls; exits useful without entries; delay changes stop feasibility; occupancy.
R20.CAUSAL_VARIANTS|Apply continuous geometry/run-length/repair/pivot-age/divergence features to every member-specific source family beside its faithful and corrected rule.|Retain each exact inequality, reset and mitigation clause; compare pooled/family residual models with parameter and bar-phase controls.|Pivot backplot; expansive/protrend sweep; CISD run; repair/fork/cross-section ordering; missing source tail.
R21.SOFT_CONTEXT|Compare sparse interpretable Context interactions and hierarchical residual gates across all separate sequence experts.|Preserve source hard gates, uniform and existing soft mixture as distinct policies and evaluate supported context cells.|HTF trend with local fade; uncertain exposure scenario; duplicated Context input; rare transition.
R22.BLINDED_DEFINITION|Develop a clause-level annotation manual with causal prefixes and a held-out representative plus edge/disagreement audit.|Compare numeric rules, independent blinded labels and optional image-assisted extraction without outcome or identity authority.|Crop hides confirmation; two plausible mechanisms; pending order mistaken for fill; annotator sees future.
C01.RANGE_GEOMETRY|Add a causal relation graph across every source range: nesting, overlap, shared formation interval, relative width/open and inter-anchor displacement.|Compare individual exact ranges and relation features under clock-phase/formation controls, preserving all disclosed windows.|Cross-midnight; unfinished range; inner/outer anchors; unresolved London alternatives.
C02.ORDERED_PATH|Augment exact ordered breach/reclaim states with duration, accepted exposure, depth and repeated-return trajectories.|Compare source automaton, transition tables and semi-Markov next-event hazards with exact gap/co-contact semantics.|High-then-low versus reverse; brief wick versus acceptance; gap; repeated shallow recross.
C03.BRANCHES|Share causal path features across all six Jumbo branch heads while retaining branch-specific residuals and independent scorecards.|Compare pooled, separate and partially pooled models on joint path/time and complete internal/extension decisions.|Wide internal move; compressed extension; first leg; later return; partial retrace; no useful move.
C04.OPEN_TYPE|Forecast opening attributes and next transitions from continuous prefix geometry, tested reference and elapsed persistence.|Compare open-location tables, completed-type rules at legal availability and duration-aware early-prefix models.|Drive later reverses; test reference changes; overlapping attributes; delayed opening observation.
C05.CLOCK_SEARCH|Compare one selected clock range with a small diverse, stability-regularized set of source/registered clock proposals.|Keep search budget and nested selection explicit; score whether relations improve forecasts beyond more candidates.|Minute shift changes winner; many tried clocks; holiday; incomplete formation.
C05.ACTIVITY|Add causal stop/continue utility and expected-activity phase to volume/event/variance stopping ranges.|Compare simple thresholds, one chosen rule and a bounded proposal ensemble; future total volume never sets current phase.|Large event overshoot; activity drought; opening burst; stop before later expansion.
C05.AUCTION|Use occupancy/migration/progress axes to define candidate formation transitions with duration and uncertainty.|Compare simple change-point/auction stops and compact boundary hazards after pricing delayed formation and candidate cost.|Ambiguous transition; gradual migration; noisy repeated change points; source coverage shift.
C06.CONDITIONAL|Upgrade historical analog/statistical zones to uncertainty-aware conditional distributions with simple partial pooling and supported retrieval.|Compare disclosed source populations, seasonal empirical, quantile/GAM and richer models at identical target/anchor.|Sparse analogs; source mean versus weighted statistic; rare tail; incompatible maturity.
C06.JOINT|Learn or explicitly model joint U/D, arrival time and ordered outcomes with realizable scenario support.|Compare marginal quantiles with joint distribution and validated path-law challengers; score ordering separately from extrema.|Both excursions large but order differs; overlapping bands; gap; unresolved end.
C06.PREFIX|Condition the future remainder on observed travel, current location, duration and state instead of subtracting a used-range scalar.|Compare static, direct remainder and conditional path forecasts at frozen cuts and actual remaining horizons.|Already travelled both tails; expansion beyond prior forecast; no future coverage; near cutoff.
C07.ACCEPTANCE|Separate occupancy/acceptance, migration, progress and participation axes and forecast their joint transitions.|Compare source hard states, additive axes and filtered duration models; retain simultaneous/conflicting state evidence.|High effort no progress; quiet discovery; value migrates without trend; missing tape.
C08.MIGRATION|Predict future added mass and resulting profile shape on a frozen grid, deriving future mode/value changes separately.|Compare POC slope/transport-only, persistence/seasonal profile and low-rank or spatial-temporal evolution models.|Overflow; new second mode; equal POC different mass; future profile volume unknown.
C09.SEASONAL|Build partially pooled seasonal distribution curves with recency/event/state effects and robust tails.|Compare ATR/previous range, empirical/EWMA and hierarchical additive baselines at equal history support.|Rare calendar cell; half-day; outlier; changed volatility level.
C10.GK_ROBUST|Expose multiscale GK residual information and reliability diagnostics relative to close-return/RV measures.|Preserve verified formula; compare aggregate lags and reliability-conditioned contribution under common future variance targets.|Opening jump; short noisy bar; redundant scales; invalid OHLC.
C11.YZ_JUMP|Retain opening, intraday and RS components separately and model their conditional memory/asymmetric responses.|Compare aggregate YZ with component lag models, common-target GK/RS controls and regularized interactions.|Cash overnight versus futures break; roll; sparse n; one opening shock.
C12.NOISE|Use a multigrid quality/error panel and compare fixed versus train-fitted reliability weighting against a strong coarse-grid baseline.|Measure incremental forecast information separately from noise reduction and runtime.|Bid/ask bounce; stale carry; sparse sampling; grid boundary jump.
C12.SEMIVARIANCE|Add signed clustering/order and scale-normalized up/down variation features to raw semivariance totals.|Compare total RV, separate signs, temporal signed summaries and identical-capacity forecasts.|Equal total opposite sign clustering; jump dominates one side; zero returns from outage.
C13.HAR_VARIANTS|Retain HAR/J/semivariance and transform variants, then compare smooth distributed lags and explicitly specified ARFIMA-on-log-variance as the proposed HAR/ARFI interpretation.|Separate memory/model changes from added estimator/IV information, match tuning and verify retransformation/calibration.|Stationarity boundary; log zero; mean-log bias; structural break; future lag averaging.
C14.JUMP_SPLIT|Add signed jump size, clustering and conditional post-burst decay while preserving deterministic BV/threshold proxies.|Compare simple jump-augmented forecasts and bounded marked-event transition models with quality artifacts separate.|Opening discontinuity; microstructure noise; sustained burst versus isolated jump; outage return.
C15.ATM|Use supported fixed-tenor ATM total-variance level/change and residual factors relative to physical/seasonal forecasts.|Compare ATM-only bridge, engineered term information and functional residual contribution at matched maturity.|Spot/forward ATM differs; expiry approaches zero; tenor interpolation gap; stale carry.
C15.SMILE|Represent the full observed smile by interpretable shape factors plus constrained residuals instead of isolated wing points.|Compare ATM, engineered smile and functional curve representations at identical strike support and forecast targets.|Missing wing; smile changes with spot; sparse strikes; extrapolation mistaken for observation.
C15.DELTA_SKEW|Separate delta-convention geometry, skew level and innovations after mechanical spot/time movement.|Compare exact fixed-delta/fixed-moneyness features and residual skew factors with side-tail targets and uncertainty.|Delta convention changes; skew point outside support; sign orientation; same nominal delta different tenor.
C15.CURVATURE|Add scale/tenor-aware symmetric and asymmetric curvature modes with quote-noise uncertainty.|Compare source butterfly/curvature scalars, robust local shape and functional residual basis, controlling for ATM/skew.|Sparse three-point curvature; wide wing spread; asymmetry; surface fit induces false precision.
C15.TERM|Model the curve of total variance and admissible forward buckets as coherent functions, preserving each exact horizon capability.|Compare point slopes, bucket features and low-rank curve/innovation factors against physical future targets.|Calendar crossing event; negative noisy bucket; equal calendar DTE unequal trading time; missing tenor.
C15.EVENT|Separate supported event-localized implied variance shape from ordinary term slope and its physical bridge.|Compare calendar-only, term-only, event concentration and residual interactions with matched event/horizon support.|Multiple events in bucket; expiry before release; event cancellation; assumed variance allocation not identified.
C15.VRP|Compare descriptive IV-minus-lagged-RV with a same-horizon OOF physical variance-gap forecast and its conditional dynamics.|Keep forward forecast uncertainty/correlation and target convention explicit; test added gap information beyond both inputs separately.|Physical forecast in-sample; units differ; residual premium versus forecast error; common shock.
C15.MODELFREE|Retain the supported option-strip integral and add observed-domain contribution/wing-assumption sensitivity rather than a falsely complete scalar.|Compare ATM/surface features, observed-strip contributions and declared tail scenarios with exact methodology eligibility.|Missing wing; no reliable forward; option style incompatible; sparse strikes; extrapolated tail dominates.
C15.INTRADAY|Factor surface changes into expected mechanical evolution and fresh curve innovations with causal temporal uncertainty.|Compare snapshots, raw changes, functional innovations and compact state dynamics for own-surface and physical targets.|Repeated snapshots; update cadence; abrupt missing support; same surface different quote errors.
C15.LEVERAGE|Model supported joint price/surface shocks with factor/residual structure and preserve the early C15.SCENARIO port's allowed inputs.|Compare independent/sticky conventions, empirical joint shocks and conditional law; later physical heads stay downstream and separately scored.|Current O22/X06 feedback; near-expiry nonlinear shock; correlated strike errors; delayed surface.
C15.ZERO_DTE|Use actual settlement remainder, support and nonlinear price/surface sensitivity in separate short-horizon forecasts.|Compare naive same-DTE scaling, engineered remainder features and factor/residual model under strict weak-IV-identification rules.|AM versus PM settlement; minutes left; intrinsic-only price; event before expiry; missing wing.
C15.CROSS_IV|Decompose common and chain-specific implied factors at compatible tenor/coordinate, with mapping and coverage uncertainty.|Compare single-chain, raw difference and residual cross-chain information under common support and equal model budget.|NDX/QQQ conventions; one chain stale; different settlement; common factor counted twice.
C16.FORWARD|Track VIX-option-implied forward level and innovations separately from any observed cash-index or VX price.|Compare parity/eligible valuation scenarios, temporal forward residuals and receiver forecasts with uncertainty intact.|Wide parity interval; rate scenario; missing paired strikes; no observed cash touch.
C16.VIX_SURFACE|Add functional right-tail/smile innovations and support-aware factor dynamics to the independently built VIX option surface.|Compare forward/ATM only, engineered tail features and compact surface representation with own-source and receiver targets separate.|Sparse right wing; poor IV conditioning; quote support changes; shape fit hides uncertainty.
C16.VVIX|Decompose supported vol-of-vol information into level/change/tail innovations and distinguish internal measure from official-method replication.|Compare VIX forward/smile without VVIX, internal measure and residual contribution at matched support.|Methodology mismatch; wing truncation; common surface errors; daily versus intraday input.
C16.VX_CURVE|Separate curve level/slope/roll and event-related innovations on the actual daily publication clock.|Compare raw front/second signals and maturity/carry-aware residual factors; no duplicated intraday rows as independent evidence.|Roll jump; stale daily value; maturity gap; quote vintage.
C16.JOINT_STRESS|Combine primitive forward, tail, term and vol-of-vol innovations with sparse common/residual dynamics.|Compare additive stress and joint model under common information, preserving acyclic primitive inputs and contribution of each child.|No current X06 loop; common shock; missing wing; stress without receiver response.
